pclass,age,sex,survived
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,adult,female,0
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,1
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,male,0
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,1
3rd,child,female,0
3rd,child,female,0
3rd,child,female,0
3rd,child,female,0
3rd,child,female,0
3rd,child,female,0
3rd,child,female,0
3rd,child,female,0
3rd,child,female,0
3rd,child,female,0
